_date,total_views,unique_views
2022-03-19,9,1
2022-03-20,19,1
2022-03-21,5,1
2022-03-28,16,1
2022-04-04,2,1
2022-04-06,3,1
2022-04-07,10,1
2022-04-12,2,1
2022-05-04,2,1
2022-05-12,8,1
2022-05-15,3,1
2022-05-17,1,1
2022-05-22,1,1
2022-05-24,1,1
2022-06-03,2,1
2022-06-19,1,1
2022-06-27,4,1
2022-07-03,1,1
2022-08-25,1,1
2022-08-30,4,1
2022-09-19,1,1
2022-09-28,1,1
2022-09-29,1,1
2022-10-07,1,1
2022-11-01,2,1
2022-11-25,1,1
2022-11-29,5,1
2022-12-01,1,1
